aten_op,input_shapes,calls,self_gpu_time_us,self_gpu_pct,avg_us_per_call
aten::copy_,"[[512, 23], [512, 23], []]",1,9.1,0.00,9.10
aten::copy_,"[[512, 63], [512, 63], []]",1,9.1,0.00,9.10
aten::copy_,"[[512, 81], [512, 81], []]",1,9.1,0.00,9.10
aten::copy_,"[[512, 103], [512, 103], []]",1,9.1,0.00,9.10
aten::copy_,"[[512, 120], [512, 120], []]",1,9.1,0.00,9.10
aten::copy_,"[[512, 122], [512, 122], []]",1,9.1,0.00,9.10
aten::copy_,"[[512, 123], [512, 123], []]",1,9.1,0.00,9.10
aten::copy_,"[[512, 161], [512, 161], []]",1,9.1,0.00,9.10
aten::copy_,"[[512, 97], [512, 97], []]",1,9.1,0.00,9.06
aten::copy_,"[[512, 19], [512, 19], []]",1,9.1,0.00,9.06
aten::copy_,"[[512, 27], [512, 27], []]",1,9.1,0.00,9.06
aten::copy_,"[[512, 65], [512, 65], []]",1,9.1,0.00,9.06
aten::copy_,"[[512, 82], [512, 82], []]",1,9.1,0.00,9.06
aten::copy_,"[[512, 98], [512, 98], []]",1,9.1,0.00,9.06
aten::copy_,"[[512, 102], [512, 102], []]",1,9.1,0.00,9.06
aten::copy_,"[[512, 193], [512, 193], []]",1,9.1,0.00,9.06
aten::copy_,"[[512, 106], [512, 106], []]",1,9.0,0.00,9.02
aten::copy_,"[[512, 109], [512, 109], []]",1,9.0,0.00,9.02
aten::copy_,"[[512, 148], [512, 148], []]",1,9.0,0.00,9.02
aten::copy_,"[[512, 164], [512, 164], []]",1,9.0,0.00,9.02
aten::copy_,"[[512, 13], [512, 13], []]",1,9.0,0.00,9.02
aten::copy_,"[[512, 41], [512, 41], []]",1,9.0,0.00,9.02
aten::copy_,"[[512, 49], [512, 49], []]",1,9.0,0.00,9.02
aten::copy_,"[[512, 86], [512, 86], []]",1,9.0,0.00,9.02
aten::copy_,"[[512, 143], [512, 143], []]",1,9.0,0.00,9.02
aten::copy_,"[[512, 158], [512, 158], []]",1,9.0,0.00,9.02
aten::copy_,"[[512, 165], [512, 165], []]",1,9.0,0.00,9.02
aten::copy_,"[[512, 84], [512, 84], []]",1,9.0,0.00,9.02
aten::copy_,"[[512, 14], [512, 14], []]",1,9.0,0.00,9.02
aten::copy_,"[[512, 136], [512, 136], []]",1,9.0,0.00,9.02
aten::copy_,"[[512, 142], [512, 142], []]",1,9.0,0.00,9.02
aten::copy_,"[[512, 150], [512, 150], []]",1,9.0,0.00,9.02
aten::copy_,"[[512, 74], [512, 74], []]",1,9.0,0.00,8.98
aten::copy_,"[[512, 50], [512, 50], []]",1,9.0,0.00,8.98
aten::copy_,"[[512, 94], [512, 94], []]",1,9.0,0.00,8.98
aten::copy_,"[[512, 194], [512, 194], []]",1,9.0,0.00,8.98
aten::copy_,"[[512, 127], [512, 127], []]",1,9.0,0.00,8.98
aten::copy_,"[[512, 149], [512, 149], []]",1,9.0,0.00,8.98
aten::copy_,"[[512, 190], [512, 190], []]",1,9.0,0.00,8.98
aten::copy_,"[[512, 15], [512, 15], []]",1,9.0,0.00,8.98
aten::all,"[[512, 17]]",1,9.0,0.00,8.98
aten::copy_,"[[512, 31], [512, 31], []]",1,9.0,0.00,8.98
aten::copy_,"[[512, 139], [512, 139], []]",1,9.0,0.00,8.98
aten::all,"[[512, 20]]",1,8.9,0.00,8.94
aten::copy_,"[[512, 43], [512, 43], []]",1,8.9,0.00,8.94
aten::copy_,"[[512, 47], [512, 47], []]",1,8.9,0.00,8.94
aten::copy_,"[[512, 83], [512, 83], []]",1,8.9,0.00,8.94
aten::copy_,"[[512, 95], [512, 95], []]",1,8.9,0.00,8.94
aten::copy_,"[[512, 73], [512, 73], []]",1,8.9,0.00,8.94
